date,review,star_rating,name
"December 24, 2017","A post modernist take on Star Wars, which makes Rey the equivalent of a toilet bowl in an art museum. Now we know what a feminist take on Star Wars is like, apparently its like Transformers, but that wouldn't be fair, the robots have more character than the souless husks of ""identity"" politics we see on screen here. They even brought in a pink hair for good measure, because woman strong! 

So congrats, nothing in the Star Wars universe is coherent anymore, now relativistic kill vehicles are a thing, who knew, now every Death Star has become redundant, why build anything when you can just kamikaze everything at light speed. 

At this point the rebels #resist are little more than incompetent terrorists led by women, if the goal of these movies was to get me to root for the Empire, congrats, job done. I can only wish the Empire would win and put this shambling corpse of a franchise out of its misery.

Its not so much that the sacred was destroyed, as some people like to mischaracterize fanboy reactions, its that they took something good, something with potential, and they spat all over it with their progressive politics, throwing away things they did not understand had value because their ideology blinds them to human reality, even natural human interaction evades the progressives grasp now. These are people who believe everyone is the same, yet different, yet interchangeable, their incoherent world view and ignorance of tradition and history yields cultural destruction like this. The modern Mao's red guard are the Kathleen Kennedy and #imwithher types, and you are seeing now why they cannot be trusted with power.",0.5, Churbology J
"December 24, 2017",Disappointed. A soulless movie. I've lost hope....,2, 
"December 24, 2017","Is it just me, or do a bunch of the 5 star reviews seem odd?

""This is not you Grandfathers Star Wars!""

""Bused the doors of the Stars Wars Universe wife open!""

""A Must See!""

""This Star Wars movie is a great bridge to the future!""

Who the hell talks like this? They sound like people who work in Marketing......",1.5, Michael B
"December 24, 2017","If you think there's about to be a climatic scene, imagine the opposite and you won't be disappointed",1, james s
"December 24, 2017","Looking for a movie that bears the name of star wars that's even worse than Attack of the Clones, with characters less likable than Jar Jar Binks and a subplot spanning 75% of the movie which ultimately ends up being pointless? Look no farther.",0.5, Judson S
"December 24, 2017","The good news, it's better than it's predecessor The Force Awakens. The bad news, it starts shiny but it's luster fades decidedly quickly. Rey again is a Mary Sue. Luke is a shade of his former self and while Mark's acting was a saving grace, the story did no Justice to what could have been. Fin, still a completely pointless character, goes on entirely needless adventure . And let's not forget, apparently when the force awakens, basic physics also ceased to work.",3, Donald C
"December 24, 2017",Great story. Something different than the standard SW story in some ways. I appreciate the way they humanized Luke and explore how debilitating grief and despair can be. I also like how this one took the battle a bit beyond simple good vs evil.,5, Brian W
"December 24, 2017","Loved it. More complex than most of the series in some ways, but thoroughly entertaining. Left me excited for the final act.",5, 
"December 24, 2017","solid 2 stars. It was entertaining to watch but it was riddled with SJW nonsense. This was especially apparent when they go to the gambling planet and the rich are all portrayed as bad guys and you could just tell the movie was advocating for socialism.

then we see some brand new concepts that we have never seen before and will likely never see again. They were just convenient to the plot. rather than have a clever twist to the plot we are just shit on with powers that we have never seen before....",2, Defender o
"December 24, 2017",Not going to see this.,0.5, Michael K
"December 24, 2017","The Last Jedi Director and writer Rian Johnson definitely took some risks with the middle chapter of the Star Wars Sequel trilogy. Upon first viewing - I had a somewhat mixed reaction. Upon 2nd viewing, my definite response - The Movie is awesome! Great Performances pretty much across the board. More humor than expected, most of which lands well. One VERY poignant scene which I won't spoil. Looking forward to Solo, and Episode 9!",4, Aaron B
"December 24, 2017",What a major disappointment... It shows how big of a disconnect fans/movie goers and critics have. The movie was rittled with lack luster new characters that had emotional moments that just felt forced. Force Awakens and Rouge One blew this film out of the water hands down.,0.5, Matt C
"December 24, 2017",Poorly written and poorly acted.,0.5, Alex S
"December 24, 2017","If you skip this you wont' miss much. The story has plot holes that you can drive a star destroyer through, much is unexplained and leaves the viewer guessing what in the world just happened, and large sections of the plot have no outcome on the final story. The main death in the movie has no apparent reason or explanation why. Some surprises. Some porg bbq. I left the movie not in amazement at the light saber battles or space battle like in past star wars movies, but more of what just happened. I really want to like it because well it's Star Wars, but this was more like a 2 hour commercial for the next movie than something good in it's own right. I have to say I will not be going to see it again in the theater.",0, Tim S
"December 24, 2017","Did not answer or address any story line arcs from Force Awakens. Rian Johnson's went into the creation of this movie with a Troll mentality and total disrespect to original trilogy. Spend 4 billion, I'm going to do what I damn well please. Hey Disney, how many of us fans can you afford to alienate before it cost you. If this is the direction your going my grandchildren will not be brought into ""your"" corrupted cannon. Thank you for destroying my heroes Luke, Leia, and Han. Going to pass on your under developed pussy, politically correct Millennials. Hope you can work global warming into episode 9 to keep them on board. Pass on this movie if you haven't seen it.",0, Tracy S
"December 24, 2017","Rian Johnson took some risks, which was a refreshing move for a massive blockbuster like Star Wars. There were a couple excellent action sequences, but there were also some elements that fell flat for me (Leia scenes and the full conversations Rey and Ben had). Overall a solid blockbuster flick, but had potential to be much better.",3.5, Spencer M
"December 24, 2017","Is it just me, or do a bunch of the 5 star reviews seem odd?

""This is not you Grandfathers Star Wars!""

""Bused the doors of the Stars Wars Universe wife open!""

""A Must See!""

""This Star Wars movie is a great bridge to the future!""

Who the hell talks like this? They sound like people who work in Marketing......",1.5, Michael B
"December 24, 2017",One start only because of the special effects.,1, Ed F
"December 24, 2017","When I heard Disney had purchased Star Wars some years ago, my heart sank. I knew they would trash it. They have exceeded my expectations with this latest steaming pile of cinematic diarrhea. I did not think The Force Awakens was a good film, but hoped that maybe, just maybe, it was just a stumbling before Disney did the series justice. The Last Jedi proves they have no respect (or understanding) for Star Wars and will keep cranking out these dreadful sequels until idiot fanboys/girls stop paying, which by the looks of many of these misguided reviews, will be never. I will never watch another Star Wars film again. Just wish I had adopted this stance prior to sitting through this horrendous farce. 

This movie is so bad, it makes the Prequels look good.",0.5, Hals R
"December 24, 2017","""Just breathe"" and go see it a second time. Enjoy what you liked about and let go of the anger over the things most of us felt were lacking. Vitriol over such things leads only to our own harm. ""Anger leads to hate. Hate leads to suffering."" There are, truly, horrible and heartbreaking things in this world to, justifiably, hate; this movie is not one of them.",4, Ian A
"December 24, 2017","If you need to keep checking your watch, the movie sucked. Bitterly disappointing and poorly written.",1, M M
"December 24, 2017","Just hated it. Wanted this movie to make some sense of the very big problems in The Force Awakens. Nope, just throws them away unexplained. Then throws away the main character of the series. Then redefines much of the lore of the series. If they wanted a new saga that would have been great, but don't hijack an existing series and then send a big FU to the fans and the point of the series. Even the new parts of the series don't agree on the direction. I have no interest in the third movie now, and Disney has lost me for the rest of what they have planned.",0.5, James N
"December 24, 2017","TLJ presents a riveting follow-up to TFA. It's fun. It's funny. You witness the fledgling resistance fight back against the FO. It packs quite a punch.

Rey's scenes with Luke are creepy at times, pointless at others. Her scenes with Kylo really were more entertaining. Finn's side-story with Rose provided some relief from the action, gave her backstory, and good explanation for how the FO came about.

The conclusion was a little confusing, but contained some epic scenes. Overall it's best to see TFA and TLJ not as much separate stories. Since one follows right after the other, it gives the impression of a continuation. Episode IX is set up well by TLJ. It's got flaws, but the characters are now better-established and interesting.",4.5, Henry K
"December 24, 2017","This movie sticks with you but for the wrong reasons. It lingers with you and eats away at you. The plot holes, the humor, the giant dump they took on Luke Skywalker. I woke up the next day thinking I had a bad dream where they made the most bizarre and frustrating Star Wars film to date. But it was no dream. When the Last Jedi ends, if feels like the sequel trilogy is going absolutely no where fast. JJ has his work cut out for him with IX, and hopefully Disney learns their lesson after choosing some mediocre director to take complete control, while throwing every SJW trope into the mix as well. I needed to take a bath after sitting through this 2 and a half hour garbage fire. How does Rian Johnson sleep at night knowing he turned Luke Skywalker into a cowardly kook of a character? Watching Disney take over Star Wars has been like watching a slow motion plane crash into one of the most beloved franchises of all time and completely destroying it. Absolutely bizarre and sad. Rest in Peace Star Wars",0.5, Pierre B
"December 24, 2017","This film was a film that didn't have to be made. Simply put this film's plot line could have started and ended in roughly 45 minutes. It dragged for way too long and at the end we didn't get any of the answers we were all asking. Nothing got resolved, no wrap up of previous plots, no story progression, and nothing to kept me wanting to watch the next film. This movie felt like part 2 of 5 and not part 2 of 3. It felt like another Harry Potter film in the mix of the 20 they have.",2.5, Alfredo L
"December 24, 2017",A bloated mess of a film that is too long and has character's behaving like morons simply for the sake of plot convenience. A post-modern insincere deconstruction of traditional star wars themes & characters. Easily the worst installment of the franchise.,0, Sneed C
"December 24, 2017","Difficult to know where to start with this mess.

As someone approaching the 40th anniversary of their first viewing of Star Wars this film has disappointed me like no other.

I won't list all the faults in this hot mess, as that has been expertly dune by many many other reviewers.

What does Tick me off that every positive review berate those that dislike it as being stuck in the past etc. 

I don't need some millennial snow flake to tell me what to like, and that this bold direction of Johnson's is fresh and unexpected blah blah.

Sorry it is simply poorly written trash, please explanation to me what this 'new direction' is? All I see is a ridiculous, over long pile of nonsense with enough plot holes to gag a wookiee

This is a trilogy, it isn't 'clever' writing to just ignore all the plot points from TFA, it's rank bad movie making.

The humour is just cringe worthy and not funny at all in the most part.

Rian Johnson has basically just given a FU to Star Wars fans and left absolute nothing for JJ to when in for episode 9 that I now have zero interest in.

If the box office drop off continues as reported this may not make the giant profit that Disney expect, that is the only way Johnson will have the next trilogy stripped from him, he should be allowed nowhere near it, not that Disney care about anything but money anyway.",1.5, Darren S
"December 24, 2017","A post modernist take on Star Wars, which makes Rey the equivalent of a toilet bowl in an art museum. Now we know what a feminist take on Star Wars is like, apparently its like Transformers, but that wouldn't be fair, the robots have more character than the souless husks of ""identity"" politics we see on screen here. They even brought in a pink hair for good measure, because woman strong! 

So congrats, nothing in the Star Wars universe is coherent anymore, now relativistic kill vehicles are a thing, who knew, now every Death Star has become redundant, why build anything when you can just kamikaze everything at light speed. 

At this point the rebels #resist are little more than incompetent terrorists led by women, if the goal of these movies was to get me to root for the Empire, congrats, job done. I can only wish the Empire would win and put this shambling corpse of a franchise out of its misery.

Its not so much that the sacred was destroyed, as some people like to mischaracterize fanboy reactions, its that they took something good, something with potential, and they spat all over it with their progressive politics, throwing away things they did not understand had value because their ideology blinds them to human reality, even natural human interaction evades the progressives grasp now. These are people who believe everyone is the same, yet different, yet interchangeable, their incoherent world view and ignorance of tradition and history yields cultural destruction like this. The modern Mao's red guard are the Kathleen Kennedy and #imwithher types, and you are seeing now why they cannot be trusted with power.",0.5, Churbology J
"December 24, 2017","Horrible, almost not a sequel at all, where are the Knights of REN , why is everyone dead, CAN WE RE DO THIS PLEASE like Lukes nightmare????????????",0, Joshua B
"December 24, 2017","Mark my words, Disney has their market audience and WE are not it. This is the last Star Wars movie I will watch from Disney in theaters.",2, Stephen H
"December 24, 2017","Eu tentei gostar de verdade, mas não deu.",2, Maycon M
"December 24, 2017","I'm not an alt-right, fanboy, or Trump supporter. You could literally write a novel about how bad this movie was and all the things wrong with it. Anyone who isn't a complete idiot knows this movie just plain sucked. The only trolls are the people who are giving this movie 5 stars. I've been reading lots of reviews and I have come across at least 3 where people said it wasn't that great but gave it five stars to balance things out. Seriously people, what Fuck is that! Star Wars is dead-er than Donald Trumps hair. If Disney sold the rights to Elon Musk and he announced it would be directed by Christopher Nolan and Quentin Tarantino, I still wouldn't go see part 9. Fuck you very much Disney. 

 

PS: if you get a chance read Peter Travers' review of this movie, it'll make your stomach turn. What a sellout, your a disgrace Peter. Rolling Stone? You be should be writing reviews for Time magazine, or AARP. Tool!",0.5, Boooooo T
"December 24, 2017","Its tragic how so many ""talented"" people can produce some thing so blatantly terrible on so many levels. Not that they care, after all, they're too busy counting all the dollars they inevitably make while diminishing the art of story telling and our imaginations. The franchise is a dead prostitute.",0.5, Diego G
"December 24, 2017",It is the worst Star Wars movie of all the saga.,0.5, tahseen n
"December 24, 2017","I don't know what was worse, being sick with E coli for 2 weeks or ""the Last Jedi."" Both were bloody shit shows. JJ Abrams had this movie set up as a slam dunk and the literally missed every important point. I want my money back I want this my two and an half hours back and I want Luke Skywalker back.",0.5, 
"December 24, 2017","1 / 10 for me after 2nd viewing. Much worse than first viewing. First time I saw it I was relieved it was not a verbatim copycat like TFA. I loved the play on myths and legends and subverting audience expectations. It seemed clever, fresh. 

Then I just saw it second time an last night. Now I think it is Rubbish. Cardboard characters, inchaote plot, lazy scriptwriting. And was boring to boot. I left the cinema 1 hour in and played with my phone and got a drink and almost didn't feel like coming back. Never happened before with ANY star wars. 

Have little interest in what happens to the new characters - they often do random things anyway and are not developed. No consistency, no proper motivation, not persuasive. And furthermore the hammy humour was often worse than the prequels. 

And Leia Space walking? Luke chucking his saber away right away after being so earnest in TFA. Omniscient' Snoke's laughable demise? A lot of WTF moments that don't fully hit you the first time fully, strike you as terrible the second time. For me at least. 

The entire film felt like a cartoon like Dragonball or Akira with zany and ever expanding force powers that blow buildings apart. Not star wars in tone..I'm no traditionalist,but consistency is important or you lose the cinematic illusion. 

Only good moments for me - the touching Yoda scene and Artoo and luke hologram scene which moved me the first time (but had little impact the second time). Everything else I can forget. Hugely disappointing. 

Probably the only star wars where I won't bother to watch again, nor buy the blu ray",0.5, Gerald C
"December 24, 2017",Saw Star Wars - The Last Jedi today. It was okay but not terrible impressed. It kind of dragged through the middle.,3.5, Cathie L
"December 24, 2017",I am a big star wars fan. I was exited to see the new star wars movie only to find I was completely disappointed and left unfulfilled after leaving the theater. I felt that this movie did not go with the flow of all the other star wars movies. It really was a bad movie all the ray around. this movie screamed fail fail fail. there were a lot of pointless plots in the movie. I really wish this movie can be unmade. adding this to the star wars legacy is really sad...,0.5, 
"December 24, 2017","This is a terrible movie, not worthy of being part of the Star Wars saga.

Let me start by saying that I am not a bot, and that I really liked the diverse cast of actors (also including many powerful female characters). People are trying to dismiss any critique to this movie using these arguments (e.g. any disgruntled fan is either a bot or a racist/sexist), but the truth is that TLJ's existential mistake was to completely disregard what a Star Wars movie is.

Star Wars is an epic space saga. It is built on heroes (the jedi) who represent and fight for the values that represent the best in our society. In TLJ, there are no heroes. Luke's character is butchered to the point that he's unrecognizable to anyone who has seen the first 6 movies. I can only agree with Mark Hamill here: I fundamentally disagree to the portrayal of Luke Skywalker in TLJ.

And Rey, the character who was supposed to carry on the torch of the Jedi, gets very little screen time beyond the scenes where she's pestering Luke. Her supposed ""jedi training"" consists of 3 short lessons! So, according to this movie, becoming a jedi takes less effort than passing a lousy online college class. No time is spent on going beyond the surface of her character, letting us know more about her personal journey. At this point, we simply know that she'll magically win any lightsaber fight without any training and without ever getting as much as a minor scratch.

Finn (a clown whose defining trait is cowardice) and Poe (who is active only in a short initial sequence) are not even worthy of being considered ""heroic"" characters. And what about the ""villains""? The supposedly powerful Supreme Leader Snoke gets unceremoniously eliminated in a matter of minutes -no explanation is provided on who he is and where he came from. Kylo Ren continues to be the silly, moody teenager he was in The Force Awakens. These ""villains"" pale in comparison with the epic greatness of Darth Vader and Emperor Palpatine!

These flaws are so big, that I won't even venture in listing the numerous plot holes, inconsistencies, or plain boring scenes (who needed the whole casino subplot??).

To sum it up: Star Wars is about epic adventures, great heroes, fearsome villains. The greatest of these heroes is Luke Skywalker. Not only Luke's character is terribly distorted in this movie, but there's no other hero that steps in to fill the void. Rey's story and personality are not developed any further than what (little) we saw in TFA. And on the villains side, we go from disappointingly shallow (Snoke) to utterly repetitive (Kylo ""teenage"" Ren).

I am incredibly disappointing in this movie. Seeing the next Star Wars movies is not a given anymore for me. Renovating the Star Wars saga should not be taken this lightly, Disney.",1, F P
"December 24, 2017","The Last Jedi retells The story of Empire Strikes Back but puts the Hoth scene at the end of the movie instead of leading with it.

Star Wars fans are very disappointed because they waited two years only to get a rehash story....nothing original.

ESB has four parts to it;

Part 1:White covered planet that is under attack by the Empire At-At walkers and the Rebels use land speeders to delay the Empire long enough for the Heroes to get away in the falcon.

Part 2: The Heroes minus the jedi learner are being pursued in a space chase but they can't lose them since they can't go light speed.

Part 3: The jedi learner goes to find the Jedi master to get taught the force but leaves before completing training.

Part 4: The heroes being chased by the Empire come up with a plan to reach out to a shady scoundrel type that can't be trusted but has no other choice and end up getting back stabbed for it.

I've just described all the plot points of The Empire Strikes Back which are the exact same thing that happens in The Last Jedi minus one additional plot which is taken from Return of the Jedi and is almost an exact copy of the Throne Room scene with red guards, very similar dialog and both The Emperor and Snoke are defeated.

Rian Johnson managed to troll the audience with a plot rip off of ESB and added Space Balls comedy that Mel Brooks would be proud of. This was Rian's way of giving the middle finger to the fanboys and adding real world political nonsense to the movie.",0.5, Rob G
"December 24, 2017","If you want to see almost all male roles emasculated and every male lead killed off in anti climatic scenes this may just be the movie for you.

Watch the Skywalker mythos degenerate into Luke considering to kill a child.

We also have Finn who can't do anything heroic because a women who he just met got a crush on him and kissed him in the first couple of hours meeting him; can anyone say butterflies?

Watch purple hair Kamikaze lady who needs no introduction because the writers were just to lazy to write a backstory crash a ship after she causes a massacre.

Also watch Leia transform into space Jesus, can anyone say Girl Power!?

PS movie was garbage. disney, just give Star Wars back to Lucas and apologize for turning Star Wars into feminist porn.",1, 
"December 24, 2017","story was crap , but visually good",1, 
"December 24, 2017","Have to say that this was by far the worst of the Star Wars movies... hell JarJar Binks was nothing compared to how Arian Johnson wrote The Last Jedi... the name does not even fit the movie... specially considering that Rey is obviously not the last Jedi, since hell Yoda can resurrect himself anytime he wants meaning that there will never be a Last Jedi. The Finn romance with Rose and the story in all was just shotty pushing pushing true Star Wars fans away like they had nothing to do with the rise and popularity of the Star Wars brand!",2, Patrick H
"December 24, 2017",Did anyone else feel like you were not watching star wars when viewing this film?,0.5, Caleb B
"December 24, 2017","My Review: (Spoiler Alert ??)

Star Wars: The Last Jedi was a masterpiece in and of its own right. It took the franchise in new directions and shocked audiences all over, completely splitting the fandom. The movie showed that sometimes you fail and nothing changes (the Finn and Rose storyline for example), it shows that sacrifice is sometimes necessary to save your friends/loved ones (Admiral Holdo's light speed suicide slice through Snoke's starship), it shows that the heros won't win all the time (the retreat from Crait), it shows that even Legends will die (Luke Skywalker's death). It brought to new light that the new hero may come from parents who were literally no one (Rey's Parents). Based on past events, the manner and personality of an old hero may change (how Luke became after the destruction after the Jedi temple). Lastly, it shows that things are not going to go the way you want sometimes. 

Star Wars: The Last Jedi was different than previous films and was better for it. After this movie, my favorite SW movies in order are 5, 8, 4, 7, 6, 3, 1, 2.",4.5, justin b
"December 24, 2017","Saw it today I loved it ( except for the 25 minutes I missed taking my kids to the bathroom 4 times) My husband was ""so-so"" on it. I think it moved the franchise forward and I am excited to see where it goes next.",4.5, 
"December 24, 2017","Incoherent facts, characters, motivations. 

Good action, shots, angles.

Bad light, too dark sometimes.

Beautiful outside and dumb inside. 

This movie threw me some moments sinister, ... or laughed at my face, breaking the little respect I had, to this or that code, SW represented to me.

i add that I don't feel to be a BIG SW boyfan. I just grew up with it.

Seems to be a consequence of balls-battle from Johnson after Abrams.

Like Ridley Scott did after ALIENS ... Doing Prometheus and Covenant, with their mount of F... incoherences.",0.5, Maxime B
"December 24, 2017","I felt heartbroken after I've seen this movie. I'm a Star Wars Fan since my childhood, and I liked The Force Awakens and Rogue One. I can't understand why Disney and Lucasfilm allowed Rian Johnsen to ruin this new trilogy and the Star Wars universe we once knew. For me Star Wars has always been a fairy tale about good and evil. In this movie we got no good and evil anymore. All characters feel very grey. We see some heroes of the old trilogy die and even new heroes established in The Force Awakens get ruined in this movie. All men act like idiots and need strong women to tell them what to do. Luke Skywalker, the big hero of the old trilogy is a bitter old coward in this movie who talks about overrated arrogant jedi of the past. This destroys not only his legacy, it destroys the legacy of the jedi. He felt no need to save Han Solo, no need to stop his former apprentice from destroying the republic and even at the end he acts like a coward by not facing his enemies. He is just petending to do so. This is not Luke Skywalker anymore. Even the first order isn't that dangerous and evil anymore. Hux is destroyed as an evil character. Snoke is gone without any explonation if he is a sith or something like a dark jedi. The cheesy humor is terrible. 

The force awakens just copied New Hope. But it felt like this was done by someone who loves Star Wars and respects the old trilogy very much. The last Jedi feels like it was done by someone who hates Star Wars. It's like Rian Johnsen doesn't even know the Star Wars universe. The force works differently, ships move differently and the illogical moments and plotholes are so gigantic, you can't overlook them. He says he's a Fan, but it seems he never even understood physics, rules and strengh of this universe. He destroys things we love without replacing it by something new and cool. I really hate this movie and I feel no desire to watch Episode IX in two years at all. I like JJ Abrams but even he won't be able to repair what Johnsen has destroyed. I can't believe Disney bought Star Wars to allow this to happen.",0.5, 
"December 24, 2017","I don't know what was worse, being sick with E coli for 2 weeks or ""the Last Jedi."" Both were bloody shit shows. JJ Abrams had this movie set up as a slam dunk and the literally missed every important point. I want my money back I want this my two and an half hours back and I want Luke Skywalker back.",0.5, 
"December 24, 2017","1 / 10 for me after 2nd viewing. Much worse than first viewing. First time I saw it I was relieved it was not a verbatim copycat like TFA. I loved the play on myths and legends and subverting audience expectations. It seemed clever, fresh. 

Then I just saw it second time an last night. Now I think it is Rubbish. Cardboard characters, inchaote plot, lazy scriptwriting. And was boring to boot. I left the cinema 1 hour in and played with my phone and got a drink and almost didn't feel like coming back. Never happened before with ANY star wars. 

Have little interest in what happens to the new characters - they often do random things anyway and are not developed. No consistency, no proper motivation, not persuasive. And furthermore the hammy humour was often worse than the prequels. 

And Leia Space walking? Luke chucking his saber away right away after being so earnest in TFA. Omniscient' Snoke's laughable demise? A lot of WTF moments that don't fully hit you the first time fully, strike you as terrible the second time. For me at least. 

The entire film felt like a cartoon like Dragonball or Akira with zany and ever expanding force powers that blow buildings apart. Not star wars in tone..I'm no traditionalist,but consistency is important or you lose the cinematic illusion. 

Only good moments for me - the touching Yoda scene and Artoo and luke hologram scene which moved me the first time (but had little impact the second time). Everything else I can forget. Hugely disappointing. 

Probably the only star wars where I won't bother to watch again, nor buy the blu ray",0.5, Gerald C
"December 24, 2017",Saw Star Wars - The Last Jedi today. It was okay but not terrible impressed. It kind of dragged through the middle.,3.5, Cathie L
"December 24, 2017",I am a big star wars fan. I was exited to see the new star wars movie only to find I was completely disappointed and left unfulfilled after leaving the theater. I felt that this movie did not go with the flow of all the other star wars movies. It really was a bad movie all the ray around. this movie screamed fail fail fail. there were a lot of pointless plots in the movie. I really wish this movie can be unmade. adding this to the star wars legacy is really sad...,0.5, 
"December 24, 2017","This is a terrible movie, not worthy of being part of the Star Wars saga.

Let me start by saying that I am not a bot, and that I really liked the diverse cast of actors (also including many powerful female characters). People are trying to dismiss any critique to this movie using these arguments (e.g. any disgruntled fan is either a bot or a racist/sexist), but the truth is that TLJ's existential mistake was to completely disregard what a Star Wars movie is.

Star Wars is an epic space saga. It is built on heroes (the jedi) who represent and fight for the values that represent the best in our society. In TLJ, there are no heroes. Luke's character is butchered to the point that he's unrecognizable to anyone who has seen the first 6 movies. I can only agree with Mark Hamill here: I fundamentally disagree to the portrayal of Luke Skywalker in TLJ.

And Rey, the character who was supposed to carry on the torch of the Jedi, gets very little screen time beyond the scenes where she's pestering Luke. Her supposed ""jedi training"" consists of 3 short lessons! So, according to this movie, becoming a jedi takes less effort than passing a lousy online college class. No time is spent on going beyond the surface of her character, letting us know more about her personal journey. At this point, we simply know that she'll magically win any lightsaber fight without any training and without ever getting as much as a minor scratch.

Finn (a clown whose defining trait is cowardice) and Poe (who is active only in a short initial sequence) are not even worthy of being considered ""heroic"" characters. And what about the ""villains""? The supposedly powerful Supreme Leader Snoke gets unceremoniously eliminated in a matter of minutes -no explanation is provided on who he is and where he came from. Kylo Ren continues to be the silly, moody teenager he was in The Force Awakens. These ""villains"" pale in comparison with the epic greatness of Darth Vader and Emperor Palpatine!

These flaws are so big, that I won't even venture in listing the numerous plot holes, inconsistencies, or plain boring scenes (who needed the whole casino subplot??).

To sum it up: Star Wars is about epic adventures, great heroes, fearsome villains. The greatest of these heroes is Luke Skywalker. Not only Luke's character is terribly distorted in this movie, but there's no other hero that steps in to fill the void. Rey's story and personality are not developed any further than what (little) we saw in TFA. And on the villains side, we go from disappointingly shallow (Snoke) to utterly repetitive (Kylo ""teenage"" Ren).

I am incredibly disappointing in this movie. Seeing the next Star Wars movies is not a given anymore for me. Renovating the Star Wars saga should not be taken this lightly, Disney.",1, F P
